review_id,product_id,reviewer_id,review_text,rating,date,is_fake
REV00612,Wireless Mouse Slim,R8428,Not what I expected based on the photos.,5,2024-04-05 12:00:00,0
REV00112,LED Desk Lamp Pro,R8523,"Used it for two weeks now, still holding up.",3,2024-01-10 15:00:00,0
REV01186,Portable Charger 20000mAh,R9140,Life changing product! Everyone should own one!!!,5,2024-04-06 05:48:00,1
REV01511,Ring Light 10-inch,R4742,Customer service was helpful when I had an issue.,2,2024-06-29 01:00:00,0
REV00772,USB-C Hub 7-Port,R9173,Life changing product! Everyone should own one!!!,5,2024-03-16 12:30:00,1
REV00880,Neck Massager Electric,R9037,Phenomenal quality! Buy it today you won't regret it!,5,2024-03-29 05:21:00,1
REV00592,Wireless Mouse Slim,R4321,Not what I expected based on the photos.,4,2024-06-19 03:00:00,0
REV01367,Coffee Grinder Manual,R3154,"Best purchase I've made this year, highly recommend.",4,2024-06-14 12:00:00,0
REV01178,Portable Charger 20000mAh,R9097,Superb! Excellent! World class! Highly recommended!,5,2024-04-05 14:26:00,1
REV00276,Yoga Mat Ultra,R9118,This is the greatest thing I have ever purchased!!!,5,2024-04-15 19:32:00,1
REV00995,Air Purifier Mini,R6288,Works fine but the instructions are terrible.,4,2024-03-23 08:00:00,0
REV01139,Portable Charger 20000mAh,R3561,"Returned it, color was completely different.",5,2024-04-09 13:00:00,0
REV01113,Smart Watch Fitness,R2009,"Best purchase I've made this year, highly recommend.",5,2024-01-12 20:00:00,0
REV00066,Bluetooth Speaker X1,R9048,"Absolutely incredible, changed my life completely!",5,2024-03-18 18:26:00,1
REV01090,Smart Watch Fitness,R3036,"Broke after one month, disappointed.",5,2024-06-07 03:00:00,0
REV00212,Yoga Mat Ultra,R2702,"Very solid build quality, happy with my purchase.",5,2024-06-05 23:00:00,0
REV01675,Cable Organizer Box,R2596,"Average quality, expected better at this price point.",4,2024-03-02 23:00:00,0
REV00451,Mechanical Keyboard RGB,R2224,"Good value for the price, would buy again.",3,2024-01-21 00:00:00,0
REV01882,Resistance Bands Set,R1915,Works fine but the instructions are terrible.,5,2024-01-21 13:00:00,0
REV00129,LED Desk Lamp Pro,R5488,"My kids love it, perfect size for them.",4,2024-02-14 19:00:00,0
REV00782,USB-C Hub 7-Port,R9148,Phenomenal quality! Buy it today you won't regret it!,5,2024-03-17 18:38:00,1
REV00694,Phone Stand Adjustable,R4342,Customer service was helpful when I had an issue.,4,2024-04-20 14:00:00,0
REV01729,Cable Organizer Box,R9188,AMAZING!!! Best product EVER!!! Buy it NOW!!!,5,2024-02-07 09:50:00,1
REV01147,Portable Charger 20000mAh,R1046,"My kids love it, perfect size for them.",5,2024-02-03 05:00:00,0
REV01832,Silk Sleep Mask,R4923,Works fine but the instructions are terrible.,2,2024-04-23 10:00:00,0
REV01464,Ring Light 10-inch,R8773,Works fine but the instructions are terrible.,2,2024-01-22 03:00:00,0
REV00423,Mechanical Keyboard RGB,R7485,Customer service was helpful when I had an issue.,4,2024-01-22 09:00:00,0
REV01865,Resistance Bands Set,R1399,The smell is a bit odd but goes away after a day.,5,2024-04-17 20:00:00,0
REV00964,Air Purifier Mini,R6415,Not what I expected based on the photos.,4,2024-03-19 12:00:00,0
REV00415,Stainless Steel Water Bottle,R9040,Marvelous! Stunning quality! Will buy 10 more!!!,5,2024-04-18 23:22:00,1
REV01467,Ring Light 10-inch,R7062,"Great product, works exactly as described.",4,2024-04-25 15:00:00,0
REV00528,Wireless Mouse Slim,R4824,Not what I expected based on the photos.,5,2024-02-18 05:00:00,0
REV01545,Laptop Stand Aluminum,R3248,"Very solid build quality, happy with my purchase.",5,2024-04-30 04:00:00,0
REV00307,Yoga Mat Ultra,R9172,5 stars! Perfect in every way! Must buy immediately!,5,2024-04-17 02:43:00,1
REV00980,Air Purifier Mini,R5522,"Broke after one month, disappointed.",4,2024-01-18 02:00:00,0
REV00030,Bluetooth Speaker X1,R1913,"Returned it, color was completely different.",5,2024-05-17 08:00:00,0
REV01538,Laptop Stand Aluminum,R1718,"Good value for the price, would buy again.",4,2024-05-27 19:00:00,0
REV01703,Cable Organizer Box,R9038,WOW! Exceeded ALL expectations! 10/10 recommend!!!,5,2024-02-09 05:18:00,1
REV00944,Air Purifier Mini,R3044,"Great product, works exactly as described.",3,2024-03-26 14:00:00,0
REV02028,Bamboo Cutting Board,R2047,"Very solid build quality, happy with my purchase.",4,2024-02-06 08:00:00,0
REV00480,Mechanical Keyboard RGB,R6036,"Best purchase I've made this year, highly recommend.",5,2024-01-11 23:00:00,0
REV00907,Neck Massager Electric,R9200,Outstanding product! Perfect! Amazing! Buy buy buy!,5,2024-03-28 02:39:00,1
REV00353,Stainless Steel Water Bottle,R5560,"My kids love it, perfect size for them.",5,2024-05-23 19:00:00,0
REV00355,Stainless Steel Water Bottle,R7245,"Shipped fast, packaging was good, product works well.",3,2024-03-09 00:00:00,0
REV01311,Foam Roller Set,R5033,"It's okay, does the job but nothing special.",4,2024-01-11 15:00:00,0
REV00252,Yoga Mat Ultra,R2913,"Used it for two weeks now, still holding up.",4,2024-02-18 22:00:00,0
REV00681,Phone Stand Adjustable,R3717,"Average quality, expected better at this price point.",5,2024-05-25 12:00:00,0
REV01456,Ring Light 10-inch,R5294,"My kids love it, perfect size for them.",5,2024-02-20 17:00:00,0
REV01171,Portable Charger 20000mAh,R2864,"Very solid build quality, happy with my purchase.",4,2024-03-05 17:00:00,0
REV01573,Laptop Stand Aluminum,R2770,"Best purchase I've made this year, highly recommend.",5,2024-04-05 14:00:00,0
REV01815,Silk Sleep Mask,R4982,"Average quality, expected better at this price point.",5,2024-03-28 20:00:00,0
REV01317,Foam Roller Set,R1096,"It's okay, does the job but nothing special.",5,2024-05-12 14:00:00,0
REV00057,Bluetooth Speaker X1,R9113,5 stars! Perfect in every way! Must buy immediately!,5,2024-03-17 10:06:00,1
REV01781,Silk Sleep Mask,R7008,"Great product, works exactly as described.",5,2024-04-16 01:00:00,0
REV01531,Laptop Stand Aluminum,R5452,Not what I expected based on the photos.,5,2024-01-04 14:00:00,0
REV01064,Smart Watch Fitness,R2636,Not what I expected based on the photos.,3,2024-01-30 03:00:00,0
REV01294,Foam Roller Set,R3785,"Very solid build quality, happy with my purchase.",4,2024-01-28 17:00:00,0
REV01888,Resistance Bands Set,R1743,"Average quality, expected better at this price point.",4,2024-02-21 05:00:00,0
REV01455,Ring Light 10-inch,R5680,Not what I expected based on the photos.,4,2024-05-23 06:00:00,0
REV01559,Laptop Stand Aluminum,R1932,"It's okay, does the job but nothing special.",5,2024-05-09 17:00:00,0
REV00308,Yoga Mat Ultra,R9006,Superb! Excellent! World class! Highly recommended!,5,2024-04-16 07:55:00,1
REV00539,Wireless Mouse Slim,R5935,"Returned it, color was completely different.",3,2024-05-22 11:00:00,0
REV00211,Yoga Mat Ultra,R1493,"Good value for the price, would buy again.",4,2024-05-30 13:00:00,0
REV00975,Air Purifier Mini,R8776,"My kids love it, perfect size for them.",3,2024-05-26 21:00:00,0
REV01240,Foam Roller Set,R6415,Works fine but the instructions are terrible.,5,2024-04-02 19:00:00,0
REV01982,Bamboo Cutting Board,R6501,Works fine but the instructions are terrible.,5,2024-06-18 01:00:00,0
REV00354,Stainless Steel Water Bottle,R6680,The smell is a bit odd but goes away after a day.,5,2024-01-07 19:00:00,0
REV00071,Bluetooth Speaker X1,R9020,Life changing product! Everyone should own one!!!,5,2024-03-16 07:45:00,1
REV01597,Laptop Stand Aluminum,R7191,"Very solid build quality, happy with my purchase.",5,2024-06-20 17:00:00,0
REV01408,Coffee Grinder Manual,R4357,"My kids love it, perfect size for them.",4,2024-05-21 04:00:00,0
REV00809,USB-C Hub 7-Port,R9017,"Absolutely incredible, changed my life completely!",5,2024-03-15 18:10:00,1
REV01789,Silk Sleep Mask,R4034,"Shipped fast, packaging was good, product works well.",5,2024-06-29 12:00:00,0
REV01042,Smart Watch Fitness,R5010,"My kids love it, perfect size for them.",5,2024-02-23 05:00:00,0
REV01056,Smart Watch Fitness,R6104,"Good value for the price, would buy again.",5,2024-04-06 20:00:00,0
REV00322,Stainless Steel Water Bottle,R1562,"Returned it, color was completely different.",4,2024-03-03 04:00:00,0
REV00803,USB-C Hub 7-Port,R9030,Phenomenal quality! Buy it today you won't regret it!,5,2024-03-15 01:06:00,1
REV01458,Ring Light 10-inch,R1921,The smell is a bit odd but goes away after a day.,4,2024-03-23 21:00:00,0
REV00985,Air Purifier Mini,R3343,"Returned it, color was completely different.",2,2024-01-28 18:00:00,0
REV00728,USB-C Hub 7-Port,R2160,"Best purchase I've made this year, highly recommend.",5,2024-01-22 03:00:00,0
REV01903,Resistance Bands Set,R7889,"Best purchase I've made this year, highly recommend.",2,2024-04-19 06:00:00,0
REV01816,Silk Sleep Mask,R5493,Works fine but the instructions are terrible.,4,2024-05-31 21:00:00,0
REV01419,Coffee Grinder Manual,R8869,"Very solid build quality, happy with my purchase.",5,2024-01-19 09:00:00,0
REV01264,Foam Roller Set,R1044,"Broke after one month, disappointed.",3,2024-06-02 17:00:00,0
REV01616,Laptop Stand Aluminum,R6615,"Very solid build quality, happy with my purchase.",4,2024-03-19 12:00:00,0
REV01114,Smart Watch Fitness,R5130,"Average quality, expected better at this price point.",4,2024-04-25 14:00:00,0
REV00544,Wireless Mouse Slim,R5175,"It's okay, does the job but nothing special.",4,2024-03-17 18:00:00,0
REV00351,Stainless Steel Water Bottle,R4011,"It's okay, does the job but nothing special.",5,2024-02-27 03:00:00,0
REV00582,Wireless Mouse Slim,R1922,"Good value for the price, would buy again.",3,2024-05-09 14:00:00,0
REV00987,Air Purifier Mini,R1306,"My kids love it, perfect size for them.",4,2024-06-16 15:00:00,0
REV01203,Portable Charger 20000mAh,R9080,AMAZING!!! Best product EVER!!! Buy it NOW!!!,5,2024-04-04 23:01:00,1
REV01418,Coffee Grinder Manual,R7015,"Good value for the price, would buy again.",4,2024-01-15 19:00:00,0
REV00070,Bluetooth Speaker X1,R9040,Life changing product! Everyone should own one!!!,5,2024-03-18 20:39:00,1
REV01314,Foam Roller Set,R4918,Customer service was helpful when I had an issue.,5,2024-02-02 01:00:00,0
REV01963,Bamboo Cutting Board,R4802,"Returned it, color was completely different.",5,2024-01-08 07:00:00,0
REV01859,Resistance Bands Set,R4936,Works fine but the instructions are terrible.,4,2024-01-18 19:00:00,0
REV01415,Coffee Grinder Manual,R8288,"Average quality, expected better at this price point.",4,2024-01-04 06:00:00,0
REV01948,Bamboo Cutting Board,R5350,"Very solid build quality, happy with my purchase.",4,2024-03-27 08:00:00,0
REV01068,Smart Watch Fitness,R1904,"Average quality, expected better at this price point.",2,2024-01-01 00:00:00,0
REV01108,Smart Watch Fitness,R1870,Customer service was helpful when I had an issue.,4,2024-03-15 17:00:00,0
REV01390,Coffee Grinder Manual,R8936,"Returned it, color was completely different.",3,2024-01-31 12:00:00,0
REV01704,Cable Organizer Box,R9147,Outstanding product! Perfect! Amazing! Buy buy buy!,5,2024-02-08 21:01:00,1
REV00100,Bluetooth Speaker X1,R9176,5 stars! Perfect in every way! Must buy immediately!,5,2024-03-16 15:16:00,1
REV00600,Wireless Mouse Slim,R8514,Works fine but the instructions are terrible.,4,2024-04-24 16:00:00,0
REV01343,Coffee Grinder Manual,R7397,"Good value for the price, would buy again.",5,2024-06-14 12:00:00,0
REV00932,Air Purifier Mini,R7486,Works fine but the instructions are terrible.,5,2024-02-04 05:00:00,0
REV01746,Silk Sleep Mask,R8586,"Great product, works exactly as described.",1,2024-05-04 02:00:00,0
REV00428,Mechanical Keyboard RGB,R7456,"Very solid build quality, happy with my purchase.",4,2024-02-05 04:00:00,0
REV01986,Bamboo Cutting Board,R7739,"Good value for the price, would buy again.",2,2024-04-10 08:00:00,0
REV01023,Air Purifier Mini,R2146,"Average quality, expected better at this price point.",4,2024-06-02 12:00:00,0
REV01885,Resistance Bands Set,R8442,"Great product, works exactly as described.",4,2024-05-11 18:00:00,0
REV01756,Silk Sleep Mask,R2586,"Used it for two weeks now, still holding up.",3,2024-06-09 21:00:00,0
REV00125,LED Desk Lamp Pro,R2020,"It's okay, does the job but nothing special.",5,2024-03-25 19:00:00,0
REV01967,Bamboo Cutting Board,R1453,Not what I expected based on the photos.,5,2024-01-11 23:00:00,0
REV00248,Yoga Mat Ultra,R5808,Works fine but the instructions are terrible.,4,2024-01-01 09:00:00,0
REV01306,Foam Roller Set,R7024,Works fine but the instructions are terrible.,3,2024-02-18 15:00:00,0
REV01019,Air Purifier Mini,R3264,"Very solid build quality, happy with my purchase.",4,2024-01-28 15:00:00,0
REV01211,Portable Charger 20000mAh,R9187,WOW! Exceeded ALL expectations! 10/10 recommend!!!,5,2024-04-05 02:49:00,1
REV00271,Yoga Mat Ultra,R9135,This is the greatest thing I have ever purchased!!!,5,2024-04-15 19:52:00,1
REV01194,Portable Charger 20000mAh,R9064,5 stars! Perfect in every way! Must buy immediately!,5,2024-04-05 15:41:00,1
REV00969,Air Purifier Mini,R7620,"Very solid build quality, happy with my purchase.",5,2024-06-19 03:00:00,0
REV00238,Yoga Mat Ultra,R4589,"Shipped fast, packaging was good, product works well.",5,2024-03-09 17:00:00,0
REV01332,Coffee Grinder Manual,R3951,"It's okay, does the job but nothing special.",3,2024-04-25 23:00:00,0
REV01024,Air Purifier Mini,R3125,Not what I expected based on the photos.,5,2024-01-07 20:00:00,0
REV00213,Yoga Mat Ultra,R2286,"Good value for the price, would buy again.",5,2024-06-09 06:00:00,0
REV01504,Ring Light 10-inch,R1122,"Broke after one month, disappointed.",5,2024-02-27 01:00:00,0
REV01048,Smart Watch Fitness,R5123,"Shipped fast, packaging was good, product works well.",2,2024-03-29 09:00:00,0
REV01641,Cable Organizer Box,R1310,"It's okay, does the job but nothing special.",1,2024-05-19 18:00:00,0
REV01059,Smart Watch Fitness,R6749,Customer service was helpful when I had an issue.,3,2024-04-07 03:00:00,0
REV01852,Resistance Bands Set,R7768,Not what I expected based on the photos.,1,2024-03-15 17:00:00,0
REV01727,Cable Organizer Box,R9117,Life changing product! Everyone should own one!!!,5,2024-02-08 04:54:00,1
REV01554,Laptop Stand Aluminum,R7526,"Great product, works exactly as described.",4,2024-01-01 03:00:00,0
REV00515,Mechanical Keyboard RGB,R7316,"Great product, works exactly as described.",5,2024-01-08 02:00:00,0
REV01387,Coffee Grinder Manual,R8075,"It's okay, does the job but nothing special.",5,2024-03-17 06:00:00,0
REV01272,Foam Roller Set,R6779,"My kids love it, perfect size for them.",4,2024-03-05 09:00:00,0
REV01340,Coffee Grinder Manual,R7954,"My kids love it, perfect size for them.",4,2024-04-17 20:00:00,0
REV01581,Laptop Stand Aluminum,R7947,The smell is a bit odd but goes away after a day.,1,2024-01-02 09:00:00,0
REV01122,Smart Watch Fitness,R3448,The smell is a bit odd but goes away after a day.,5,2024-06-03 22:00:00,0
REV01466,Ring Light 10-inch,R3499,Works fine but the instructions are terrible.,5,2024-01-04 10:00:00,0
REV00352,Stainless Steel Water Bottle,R4515,"My kids love it, perfect size for them.",3,2024-01-30 08:00:00,0
REV01160,Portable Charger 20000mAh,R3316,"Good value for the price, would buy again.",4,2024-01-30 12:00:00,0
REV01421,Coffee Grinder Manual,R3037,"Used it for two weeks now, still holding up.",4,2024-04-08 06:00:00,0
